ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
2015,"2015",0,"Total",30804,9053,"Census Tract 35.01, San Diego County, CA","14000US06073003501"
2015,"2015",0,"Total",26854,7144.000000000001,"Census Tract 35.02, San Diego County, CA","14000US06073003502"
2015,"2015",0,"Total",28698,8220,"Census Tract 36.01, San Diego County, CA","14000US06073003601"
2015,"2015",0,"Total",45938,14172,"Census Tract 36.02, San Diego County, CA","14000US06073003602"
2015,"2015",0,"Total",36336,7564,"Census Tract 36.03, San Diego County, CA","14000US06073003603"
2015,"2015",0,"Total",23023,2007.9999999999998,"Census Tract 39.01, San Diego County, CA","14000US06073003901"
2015,"2015",0,"Total",30536,5600,"Census Tract 39.02, San Diego County, CA","14000US06073003902"
2015,"2015",0,"Total",32708,9489,"Census Tract 40, San Diego County, CA","14000US06073004000"
2015,"2015",0,"Total",40132,5332,"Census Tract 41, San Diego County, CA","14000US06073004100"
2015,"2015",0,"Total",83931,12124,"Census Tract 42, San Diego County, CA","14000US06073004200"
2015,"2015",0,"Total",71356,10921,"Census Tract 43, San Diego County, CA","14000US06073004300"
2015,"2015",0,"Total",66193,12770,"Census Tract 44, San Diego County, CA","14000US06073004400"
2015,"2015",0,"Total",43712,12496,"Census Tract 45.01, San Diego County, CA","14000US06073004501"
2015,"2015",0,"Total",50523,5993,"Census Tract 46, San Diego County, CA","14000US06073004600"
2015,"2015",0,"Total",27768,3822,"Census Tract 47, San Diego County, CA","14000US06073004700"
2015,"2015",0,"Total",33405,9133,"Census Tract 48, San Diego County, CA","14000US06073004800"
2015,"2015",0,"Total",27619,5384,"Census Tract 49, San Diego County, CA","14000US06073004900"
2015,"2015",0,"Total",24044,4902,"Census Tract 50, San Diego County, CA","14000US06073005000"
2015,"2015",0,"Total",27793,4134,"Census Tract 51, San Diego County, CA","14000US06073005100"
2015,"2015",0,"Total",33673,10930,"Census Tract 52, San Diego County, CA","14000US06073005200"
2015,"2015",0,"Total",51974,10920,"Census Tract 53, San Diego County, CA","14000US06073005300"
2015,"2015",0,"Total",85836,9859,"Census Tract 54, San Diego County, CA","14000US06073005400"
2015,"2015",0,"Total",58804,19538,"Census Tract 56, San Diego County, CA","14000US06073005600"
2015,"2015",0,"Total",40250,11040,"Census Tract 57, San Diego County, CA","14000US06073005700"
2015,"2015",0,"Total",77892,14062,"Census Tract 58, San Diego County, CA","14000US06073005800"
2015,"2015",0,"Total",58818,7872.000000000001,"Census Tract 59, San Diego County, CA","14000US06073005900"
2015,"2015",0,"Total",68063,16870,"Census Tract 60, San Diego County, CA","14000US06073006000"
2015,"2015",0,"Total",85724,27869.000000000004,"Census Tract 61, San Diego County, CA","14000US06073006100"
2015,"2015",0,"Total",36686,10691,"Census Tract 65, San Diego County, CA","14000US06073006500"
2015,"2015",0,"Total",52340,5850,"Census Tract 66, San Diego County, CA","14000US06073006600"
2015,"2015",0,"Total",56464,9507,"Census Tract 68.01, San Diego County, CA","14000US06073006801"
2015,"2015",0,"Total",67653,7851,"Census Tract 68.02, San Diego County, CA","14000US06073006802"
2015,"2015",0,"Total",81648,17107,"Census Tract 69, San Diego County, CA","14000US06073006900"
2015,"2015",0,"Total",113657,17402,"Census Tract 70.02, San Diego County, CA","14000US06073007002"
2015,"2015",0,"Total",120523,49137,"Census Tract 71, San Diego County, CA","14000US06073007100"
