latitude,longitude,year,N.cleanupAttempts,total_plastic,total_plasticbags,totalFishingLine,total_takeout,total_smoke
32.75,-117.2515,2020,1,2,0,0,2,0
32.75,-117.251,2020,1,20,0,0,9,10
32.75,-117.2499,2020,1,38,2,0,35,0
32.75,-117.2358,2020,1,3,0,0,2,1
32.7501,-117.2527,2020,1,1,0,0,1,0
32.7501,-117.2526,2020,5,6,0,0,6,0
32.7501,-117.2523,2020,1,1,0,0,1,0
32.7501,-117.252,2020,1,4,0,0,4,0
32.7502,-117.2527,2020,2,2,0,0,1,1
32.7502,-117.252,2020,1,10,1,0,9,0
32.7502,-117.2519,2020,1,2,0,0,2,0
32.7503,-117.2354,2020,1,1,0,0,0,1
32.7504,-117.253,2018,1,2,0,0,0,2
32.7504,-117.2523,2016,1,2,0,0,2,0
32.7504,-117.2358,2020,1,13,3,0,7,3
32.7506,-117.2528,2018,1,1,0,0,1,0
32.7506,-117.2485,2016,1,17,0,0,14,3
32.7507,-117.2529,2018,1,1,0,0,1,0
32.7507,-117.2522,2020,1,1,0,0,1,0
32.7507,-117.2485,2016,1,2,0,0,0,0
32.7507,-117.2393,2020,1,1,0,0,0,1
32.7508,-117.252,2020,1,5,0,0,5,0
32.7508,-117.2416,2020,1,30,0,0,24,2
32.7509,-117.2528,2018,1,1,0,0,1,0
32.7509,-117.2504,2020,1,6,1,0,0,0
32.7511,-117.2527,2018,1,1,0,0,1,0
32.7511,-117.2523,2020,1,1,0,0,1,0
32.7511,-117.2514,2020,1,3,0,0,2,1
32.7511,-117.2437,2020,1,2,0,0,2,0
32.7512,-117.2523,2020,1,2,0,0,1,1
32.7512,-117.2519,2020,1,9,0,0,8,1
32.7512,-117.2513,2020,2,5,0,0,3,0
32.7514,-117.2521,2020,1,4,0,0,4,0
32.7514,-117.2449,2020,1,4,0,0,4,0
32.7515,-117.2519,2020,1,1,0,0,1,0
32.7515,-117.2508,2020,1,5,0,0,5,0
32.7516,-117.2516,2020,1,5,0,0,5,0
32.7517,-117.2528,2018,1,2,0,0,1,1
32.7517,-117.252,2020,1,1,0,0,0,0
32.7517,-117.2519,2020,1,2,0,0,2,0
32.7517,-117.2518,2020,1,97,0,0,55,42
32.7518,-117.2526,2017,25,70,1,0,67,1
32.7518,-117.2526,2020,1,5,0,0,4,1
32.7518,-117.2522,2020,1,30,0,0,30,0
32.7519,-117.2519,2020,1,20,0,0,20,0
32.7519,-117.2497,2020,1,6,0,0,0,0
32.7519,-117.2445,2020,1,4,0,0,0,0
32.752,-117.2521,2020,1,1,0,0,1,0
32.752,-117.2518,2020,1,7,0,0,6,1
32.7521,-117.2528,2018,1,1,0,0,1,0
32.7521,-117.2521,2020,1,3,0,0,3,0
32.7521,-117.252,2020,1,5,0,0,5,0
32.7521,-117.2516,2020,1,5,0,0,4,1
32.7521,-117.2414,2020,1,3,0,0,3,0
32.7522,-117.2527,2018,1,1,0,0,1,0
32.7523,-117.2527,2018,1,1,0,0,1,0
32.7523,-117.2526,2018,1,1,0,0,1,0
32.7524,-117.2528,2018,2,2,1,0,1,0
32.7524,-117.2519,2020,1,16,0,0,16,0
32.7524,-117.2499,2020,1,37,0,0,0,37
32.7525,-117.2519,2020,1,17,0,0,17,0
32.7526,-117.2527,2018,1,1,0,0,1,0
32.7526,-117.2515,2020,1,1,0,0,1,0
32.7528,-117.2527,2018,1,1,0,0,1,0
32.7528,-117.2518,2020,1,8,0,0,8,0
32.7528,-117.2516,2020,1,10,0,0,8,1
32.7529,-117.2527,2018,1,1,0,0,1,0
32.7529,-117.252,2020,1,2,0,0,2,0
32.753,-117.2518,2020,1,10,0,0,7,3
32.753,-117.2517,2020,1,3,0,0,0,3
32.753,-117.2433,2020,1,28,0,0,27,1
32.7532,-117.2527,2018,1,1,0,0,0,1
32.7532,-117.2518,2020,1,1,0,0,1,0
32.7532,-117.2494,2020,1,2,0,0,0,0
32.7532,-117.2476,2020,1,1,0,0,0,0
32.7534,-117.2529,2018,1,1,1,0,0,0
32.7534,-117.252,2020,1,4,0,0,0,0
32.7534,-117.2512,2020,1,1,0,0,1,0
32.7535,-117.2529,2018,1,1,0,0,1,0
32.7535,-117.2528,2018,2,2,0,0,1,1
32.7535,-117.2489,2020,1,1,0,0,1,0
32.7536,-117.2529,2018,2,2,0,0,2,0
32.7536,-117.2528,2018,1,1,0,0,1,0
32.7536,-117.2507,2020,1,57,0,0,46,11
32.7536,-117.2478,2020,2,111,3,0,83,21
32.7536,-117.2438,2020,1,3,0,0,1,2
32.7537,-117.2508,2020,1,12,0,0,12,0
32.7538,-117.2528,2018,1,1,0,0,0,1
32.7538,-117.2527,2018,1,1,0,0,0,1
32.7538,-117.2506,2020,1,10,0,0,10,0
32.7538,-117.2504,2020,1,1,0,0,0,1
32.7538,-117.2495,2020,1,2,0,0,0,2
32.7538,-117.2485,2020,1,2,0,0,0,2
32.7539,-117.2524,2018,2,4,0,0,3,1
32.7539,-117.2507,2020,2,158,28,0,80,50
32.7539,-117.2499,2020,1,3,0,0,3,0
32.754,-117.2507,2020,2,26,0,0,26,0
32.754,-117.2506,2020,1,5,0,0,0,0
32.754,-117.2499,2020,1,5,0,0,5,0
32.754,-117.2495,2020,1,5,0,0,5,0
32.754,-117.2492,2020,1,2,0,0,1,1
32.754,-117.249,2020,1,1,0,0,1,0
32.7541,-117.2528,2018,1,1,0,0,0,1
32.7541,-117.2487,2020,1,147,12,0,87,48
32.7542,-117.2489,2020,2,19,3,0,7,9
32.7543,-117.2489,2020,1,2,0,0,0,2
32.7543,-117.2463,2020,1,12,0,0,9,1
32.7543,-117.2443,2020,1,58,0,0,58,0
32.7544,-117.244,2020,1,6,0,0,1,4
32.7545,-117.2469,2020,1,452,0,0,452,0
32.7545,-117.1968,2018,1,1,0,0,0,1
32.7546,-117.249,2020,1,4,0,0,0,4
32.7546,-117.2463,2020,1,1,0,0,1,0
32.7546,-117.2455,2020,1,13,0,0,2,11
32.7547,-117.2489,2020,1,8,0,0,0,8
32.7547,-117.2452,2020,1,1,0,0,0,0
32.7548,-117.2503,2020,1,16,0,0,10,0
32.7548,-117.2487,2020,1,36,0,0,7,29
